Monthly_Income,Current_EMIs,Employment_Type,Credit_Score,Loan_Amount,Tenure_Years,Age,Bank_Interest_Rate,Processing_Fee_Percentage,Minimum_Tenure_Allowed,Maximum_Tenure_Allowed,Loan_Status
189088,7400,Salaried,709,4164639,3,27,8.54,1.06,3,15,1
135885,12183,Salaried,732,2971944,3,41,11.48,2.49,1,15,1
193047,21357,Salaried,755,2150021,3,29,13.5,2.96,2,13,1
127296,28643,Salaried,651,1757923,8,59,11.58,0.56,1,23,0
192286,70271,Salaried,739,4351754,3,38,9.55,2.23,2,12,0
163501,6893,Salaried,715,1249386,11,24,12.71,1.16,2,19,1
69045,7022,Salaried,702,4974207,3,45,10.91,0.67,3,15,0
124616,40447,Student,693,3182514,12,34,17.14,0.54,3,27,0
80726,10492,Salaried,737,3901424,3,29,9.47,2.7,1,19,0
180656,32745,Salaried,708,1155534,11,46,8.97,1.38,1,18,0
191089,66320,Self-Employed,719,548863,7,22,8.55,2.99,2,25,0
165262,49689,Student,715,4092787,13,40,11.62,1.61,3,29,0
92575,6655,Salaried,712,498982,12,48,14.77,0.97,2,13,1
157038,59326,Salaried,698,4529125,10,27,15.44,2.44,2,20,0
46024,9907,Salaried,673,2331230,6,28,12.81,2.82,2,21,0
128632,14599,Self-Employed,664,1021525,13,55,15.0,2.54,2,28,0
178165,69678,Self-Employed,733,3429569,12,34,11.92,2.36,2,19,0
101672,8311,Salaried,677,3227945,5,37,14.84,1.34,2,16,0
147222,23944,Self-Employed,616,4994505,1,56,8.89,0.66,1,16,0
192247,7805,Salaried,709,3749391,5,24,12.21,1.0,3,27,0
82215,3506,Self-Employed,728,3149320,13,22,16.01,1.62,3,12,0
190150,51293,Salaried,722,814121,10,26,16.13,2.89,2,21,0
109758,26211,Salaried,738,1157677,5,24,15.3,2.31,2,23,1
38049,14069,Salaried,677,3743305,3,49,10.44,2.57,2,29,0
56975,9540,Self-Employed,706,2699103,8,38,10.85,1.19,3,11,0
177049,49115,Salaried,732,4780530,12,46,17.96,2.21,3,18,0
116042,28074,Student,706,541072,1,54,9.48,2.66,2,19,0
97986,24107,Salaried,655,3026242,2,30,10.22,1.7,3,15,0
108008,28761,Salaried,665,4883177,10,56,9.74,1.57,2,26,0
80953,24690,Self-Employed,668,207164,11,34,11.61,2.3,2,24,1
120891,33496,Self-Employed,682,3419720,4,51,10.5,1.9,2,10,0
33888,2967,Self-Employed,610,4172263,7,35,13.23,2.98,1,22,0
76476,12043,Salaried,638,3791196,7,28,13.02,1.56,3,19,0
167424,55069,Self-Employed,700,3314908,11,34,17.06,0.94,3,21,1
94459,16779,Student,746,4148502,12,43,8.83,1.68,3,25,0
178379,54098,Salaried,657,3822811,9,41,11.54,1.09,2,11,0
102508,40419,Student,699,247775,9,36,14.17,1.9,1,12,0
104780,21545,Student,790,2326360,10,38,14.25,0.81,2,17,0
190333,1542,Salaried,720,2186233,9,44,13.06,2.87,2,29,1
34065,9409,Student,757,444540,4,46,16.25,2.65,2,24,0
34870,1810,Self-Employed,676,76790,11,45,9.1,0.89,1,28,0
30485,11714,Salaried,671,3226083,12,49,16.25,0.93,2,27,0
171542,42344,Self-Employed,625,4999499,1,35,13.2,1.78,2,10,0
118333,46196,Student,703,4504051,3,21,9.77,2.43,1,28,0
129065,6190,Self-Employed,749,1923421,1,45,16.91,1.05,2,11,0
121357,3330,Self-Employed,694,210775,10,27,14.67,0.65,2,14,0
76529,3719,Salaried,748,1394027,12,29,10.05,1.86,3,27,0
19835,3775,Salaried,675,4561732,4,44,8.82,2.23,1,25,0
112007,17308,Salaried,697,172402,13,21,9.84,1.11,3,19,1
71178,16639,Salaried,739,3612737,11,28,14.28,2.35,2,30,0
16015,1824,Self-Employed,707,4121647,1,44,10.2,2.88,1,12,0
38833,4158,Salaried,757,4395760,2,31,10.64,0.84,1,19,0
23702,384,Salaried,681,4947590,6,37,8.74,1.78,2,22,0
113142,9860,Self-Employed,700,213273,3,28,15.37,0.64,3,30,1
136288,38765,Salaried,702,3081756,4,55,16.2,1.02,2,19,0
52744,12775,Salaried,623,558153,2,55,16.07,0.72,1,20,1
64922,4363,Self-Employed,763,1729748,14,53,9.71,1.51,1,16,0
188880,53871,Self-Employed,569,3011293,2,25,17.08,2.55,2,11,0
74494,15781,Self-Employed,667,4251253,2,59,14.89,1.94,2,28,0
153013,25934,Salaried,744,1414133,1,48,17.03,1.06,2,27,0
85390,19856,Salaried,693,1904971,4,27,12.75,0.6,2,20,0
88477,14388,Salaried,642,711614,9,29,12.65,1.88,3,26,0
152162,11637,Self-Employed,669,1681107,8,28,15.95,0.83,3,12,0
187312,33434,Salaried,650,4200276,2,32,9.39,1.36,3,29,0
51668,13716,Salaried,725,2295131,10,54,13.45,1.78,3,21,0
123464,26329,Self-Employed,694,4118472,6,53,16.45,2.76,1,11,0
165334,52796,Salaried,702,4832883,1,43,16.39,0.7,1,10,0
65428,22195,Salaried,672,4633897,12,44,17.58,2.17,3,18,0
59247,15745,Self-Employed,638,2128007,3,57,15.13,0.54,2,28,0
33030,918,Salaried,853,680265,6,55,10.47,2.07,1,17,0
181926,46271,Salaried,755,1471796,12,42,8.69,1.88,2,18,1
65448,6229,Self-Employed,661,517010,9,47,13.05,2.53,3,16,1
41734,6371,Salaried,682,3930993,8,55,13.38,1.83,1,13,0
38275,6738,Self-Employed,623,622735,2,21,10.78,1.38,1,25,0
91090,17260,Salaried,643,471240,1,55,9.68,1.11,1,15,0
131421,1605,Salaried,667,4198887,7,57,14.07,0.71,1,27,0
170890,4324,Student,675,3102766,6,34,15.76,1.84,3,11,0
174818,117,Self-Employed,663,575134,11,23,17.93,2.72,1,20,0
61514,22700,Self-Employed,673,114323,3,21,15.7,1.79,3,14,1
191659,36976,Self-Employed,792,1100493,11,25,16.04,2.35,1,26,0
120292,47362,Salaried,713,2913793,8,46,14.36,1.25,3,14,0
102958,9865,Self-Employed,669,2035296,9,34,17.87,1.62,3,12,1
94767,32293,Salaried,738,4852116,14,59,14.58,1.31,2,28,0
57929,1908,Salaried,708,436594,1,47,16.67,0.77,3,17,0
58925,5951,Self-Employed,704,1533624,5,29,17.48,1.54,2,20,0
103861,21204,Self-Employed,671,1112636,10,35,17.33,2.41,1,12,0
58303,9510,Self-Employed,665,4579788,6,35,12.12,1.49,2,12,0
117974,18574,Salaried,606,2659089,14,46,9.25,2.13,3,10,0
107263,4018,Salaried,749,1677781,3,33,10.13,2.4,2,22,0
39519,14889,Self-Employed,716,1157955,14,52,9.06,1.31,1,19,0
113723,10789,Self-Employed,679,1949492,11,59,9.5,2.49,2,15,0
118677,2243,Self-Employed,775,1273520,6,52,10.25,1.35,3,20,1
169782,29486,Self-Employed,720,2350119,4,24,11.74,1.14,3,17,0
35103,11420,Self-Employed,737,2294702,3,50,13.66,1.06,1,28,0
139714,34884,Self-Employed,653,438349,10,57,15.26,1.0,1,20,0
159071,55318,Salaried,732,1305564,8,43,10.5,2.34,2,15,0
32368,7790,Self-Employed,697,2101531,12,59,14.89,2.72,1,21,0
75279,20260,Salaried,660,2464472,6,35,15.19,1.08,3,27,1
190399,68904,Student,723,2052324,10,49,13.81,0.71,2,12,0
139085,52182,Salaried,826,368408,5,56,17.08,1.28,2,22,0
54224,4212,Self-Employed,726,4285042,4,33,9.55,2.14,2,13,0
154649,8070,Salaried,763,2799178,3,52,10.18,1.42,2,18,1
82526,5299,Salaried,659,3414695,1,27,12.57,1.87,1,25,0
109270,4757,Salaried,666,4052640,4,42,9.7,2.36,2,21,0
67853,24917,Salaried,667,3402252,8,48,13.88,1.52,2,29,0
16759,3212,Self-Employed,631,314223,14,22,12.28,3.0,2,16,0
188532,72847,Salaried,604,4671056,14,26,11.2,1.24,3,21,0
174937,6645,Salaried,596,4101774,4,48,10.11,2.95,3,17,0
144948,12342,Student,637,1177199,10,48,11.69,1.01,1,30,0
90629,16438,Self-Employed,724,4093064,7,40,14.28,0.78,3,24,0
45678,10682,Salaried,661,2596741,9,50,13.97,2.38,3,11,0
87258,24160,Self-Employed,785,1972135,14,31,10.05,2.26,1,20,0
128453,18922,Student,722,4561219,5,48,9.69,2.53,1,30,1
101925,822,Self-Employed,616,4505214,5,45,8.75,1.36,2,14,0
118145,15358,Salaried,788,1987878,7,59,8.62,2.83,2,15,0
29596,804,Salaried,762,3316402,4,53,16.86,0.8,1,28,0
163843,29975,Salaried,591,4787655,11,21,8.93,0.58,2,23,0
183671,51920,Self-Employed,813,2909244,9,47,15.45,1.25,2,16,1
70029,17685,Self-Employed,560,166739,10,33,16.78,2.49,2,21,0
141678,8996,Salaried,709,4135412,9,23,9.43,2.18,1,26,0
16622,341,Salaried,651,3801198,6,59,12.64,1.59,3,13,0
192900,47924,Salaried,607,440719,2,26,17.64,1.14,3,29,0
165322,21172,Self-Employed,636,2728932,11,28,16.42,0.65,1,19,0
104599,6819,Salaried,651,758662,8,47,13.15,1.34,1,10,1
135900,23863,Salaried,752,3401278,4,29,15.74,1.65,2,13,0
178059,15850,Salaried,718,2771864,9,57,16.42,2.22,1,22,0
69912,1240,Self-Employed,647,2754999,10,53,11.81,2.11,1,15,0
39354,12418,Self-Employed,684,478988,1,44,16.98,2.87,1,24,0
109006,20491,Salaried,667,2540706,8,35,12.97,0.75,1,23,0
26344,1750,Student,741,4431137,9,52,13.51,1.34,2,12,0
105600,27935,Self-Employed,768,3863270,10,52,18.0,1.7,2,28,0
109457,16774,Student,722,3946022,13,44,16.51,2.18,1,15,0
66571,25510,Salaried,689,4131082,10,32,11.94,1.74,1,11,1
104613,9374,Salaried,745,1049554,5,59,8.6,2.78,3,18,0
166734,23510,Salaried,599,3645790,8,22,14.45,2.02,3,22,0
69620,15317,Self-Employed,751,2750713,12,23,15.19,0.6,1,27,0
138618,52393,Student,625,1070154,7,57,14.68,0.78,3,21,0
194615,13919,Salaried,761,2422280,8,37,17.69,2.38,3,30,1
156688,37129,Salaried,665,1909582,7,22,16.7,2.29,2,13,1
156888,32733,Salaried,699,3097569,14,22,12.76,0.88,2,16,0
181472,4494,Salaried,693,3238729,5,48,9.1,0.65,2,21,1
183645,806,Salaried,815,4062595,4,43,13.02,1.95,3,20,1
184269,41844,Self-Employed,666,913561,11,57,15.05,2.09,1,16,0
131953,17320,Salaried,727,3793797,7,52,14.27,0.84,2,19,0
91898,18297,Salaried,668,2058954,10,53,13.61,1.68,3,18,0
171497,26685,Self-Employed,811,4959384,4,21,12.95,1.26,1,11,1
163746,18024,Salaried,666,2664235,13,39,11.29,2.83,2,14,0
118320,23265,Self-Employed,714,376916,11,22,11.13,1.05,3,19,1
40559,7291,Salaried,716,1775690,5,46,13.25,2.33,2,23,1
56873,8228,Salaried,734,4216769,8,52,10.03,1.8,3,25,0
130005,2396,Student,646,4372626,8,26,11.74,0.53,2,11,0
86719,26572,Self-Employed,729,1118199,12,52,11.58,1.79,3,28,0
120228,33130,Salaried,682,1780228,10,24,14.08,0.75,1,18,1
84274,2469,Student,709,2739784,3,31,9.13,2.15,2,23,0
93249,2719,Salaried,692,2189686,2,37,16.38,1.91,2,24,0
194917,57932,Salaried,688,1173994,1,58,13.84,0.53,3,28,0
178038,12987,Salaried,700,1424572,3,44,14.87,1.01,1,17,1
91242,29257,Salaried,759,1714221,5,25,15.18,2.44,1,24,1
159579,7059,Self-Employed,688,188563,11,54,11.27,1.19,2,17,0
138797,8073,Salaried,665,3709985,2,26,12.97,1.75,3,13,0
130374,24860,Salaried,697,4728394,3,42,17.58,1.28,2,15,0
42083,11296,Self-Employed,693,4471590,10,31,15.78,2.8,3,20,0
159097,36124,Student,598,2760626,13,36,17.71,1.84,1,21,0
56846,2844,Salaried,648,3536669,4,53,15.59,2.24,2,18,0
37042,3778,Student,735,2915899,8,29,10.17,0.71,3,27,1
68268,6446,Salaried,792,3390216,5,26,9.11,0.6,1,26,0
153496,12857,Self-Employed,646,969484,3,36,13.99,1.15,3,30,1
97711,26385,Student,695,2524968,1,49,11.9,1.27,2,12,0
154783,8782,Salaried,755,4592001,4,23,11.12,2.22,3,22,0
97879,38827,Salaried,762,568349,7,40,16.17,1.92,2,15,0
94083,34531,Salaried,724,4047615,9,56,11.99,1.44,1,23,0
144749,5109,Salaried,744,659996,1,39,11.51,2.14,3,10,0
172661,30015,Salaried,614,438590,6,46,16.57,0.91,1,13,0
167876,41688,Salaried,718,214053,3,23,16.54,0.66,1,27,0
189480,39499,Student,723,3440926,6,39,11.89,2.64,2,20,0
63787,2720,Salaried,688,623441,1,40,16.41,1.91,2,20,0
191076,56985,Salaried,701,3932149,7,52,16.58,2.12,1,17,1
90897,16369,Salaried,717,1493717,9,27,12.53,1.27,2,13,0
145406,26015,Salaried,706,414359,2,53,9.13,1.43,1,11,1
171755,13629,Self-Employed,683,1197087,4,59,8.52,0.71,2,10,0
96941,8601,Salaried,820,4396664,12,38,13.47,2.64,2,19,0
126562,15313,Self-Employed,648,2217478,3,21,11.77,1.98,3,26,1
120361,16082,Salaried,673,1081519,8,31,17.97,0.71,3,16,1
94561,8946,Salaried,674,2664150,12,48,15.84,2.51,2,16,1
127340,49310,Salaried,710,2378599,4,45,15.73,1.61,1,22,1
40963,3453,Salaried,711,2834372,2,43,17.57,2.41,1,10,0
58585,11171,Salaried,752,2427074,10,51,16.93,0.53,1,10,0
143267,52866,Self-Employed,773,3092146,10,50,11.52,0.57,2,22,1
169351,11561,Salaried,769,3021981,2,55,10.08,0.93,2,10,1
79324,12197,Self-Employed,617,4866909,8,27,15.59,1.03,1,15,0
116459,41089,Salaried,697,2010826,9,36,12.09,2.41,3,19,0
82649,13760,Student,676,2904190,11,46,13.0,2.27,3,30,0
48397,16653,Salaried,717,4627033,12,22,14.49,2.04,1,10,0
188312,6276,Self-Employed,732,4457871,6,21,17.12,2.71,2,14,0
50946,19118,Self-Employed,630,142324,1,32,12.48,1.12,2,11,0
41155,14135,Salaried,751,2590476,4,25,15.94,2.76,1,12,0
96537,968,Salaried,711,4597603,10,57,11.05,2.77,3,12,0
185102,1058,Salaried,736,2997762,14,52,15.13,1.59,1,27,0
187307,35057,Student,695,4489850,14,29,8.52,0.74,1,17,0
104393,15398,Salaried,749,3694843,6,55,16.78,2.32,1,18,0
37911,5757,Salaried,555,1624833,10,39,8.79,1.34,3,11,0
136863,10225,Salaried,729,850101,5,36,15.27,2.49,1,11,1
63320,14646,Student,659,4692929,2,23,8.94,0.91,3,25,0
51487,302,Student,677,366205,4,40,11.03,1.85,2,16,0
177962,47055,Self-Employed,703,4155519,5,44,13.22,1.77,3,13,0
23125,3291,Salaried,717,2875896,9,53,12.49,0.75,3,14,0
173280,66024,Salaried,644,569777,13,44,10.32,1.41,1,10,0
82203,26213,Self-Employed,745,3440742,3,31,11.67,0.71,2,19,0
18712,1367,Salaried,693,2786582,9,28,15.41,1.66,1,22,0
104152,27723,Salaried,758,3410160,1,56,14.86,2.61,3,24,0
111546,22443,Salaried,801,4878426,3,58,9.18,1.18,3,10,0
40537,2989,Student,857,2911509,12,40,15.6,2.41,1,27,0
16177,4760,Salaried,701,1704753,5,55,9.0,0.96,2,23,1
61819,11022,Self-Employed,751,2829499,11,45,13.66,2.18,3,27,0
39596,406,Salaried,590,1037471,5,55,10.97,2.79,3,21,0
71088,8906,Salaried,639,1407133,13,45,14.08,1.31,3,21,1
72716,28211,Self-Employed,675,1302078,12,49,10.98,2.75,2,14,0
136999,49257,Salaried,775,3951529,9,38,17.86,1.76,1,16,0
129014,44139,Salaried,738,4307950,7,38,11.44,1.29,2,22,0
63368,24489,Self-Employed,658,2037755,8,22,10.8,2.74,2,18,0
103204,15222,Self-Employed,692,3379049,9,55,11.15,0.58,3,15,0
142959,10617,Self-Employed,736,2379753,11,36,17.02,0.57,2,30,0
125641,39575,Self-Employed,687,4071080,2,56,14.54,2.0,3,16,0
142556,26160,Salaried,731,99104,6,53,15.44,2.49,2,27,1
31014,10658,Self-Employed,720,4450072,14,24,17.22,2.38,2,24,0
22421,5016,Salaried,659,3489782,9,53,17.16,0.7,1,17,0
124847,29371,Self-Employed,781,1174905,7,34,15.52,2.88,2,29,1
27323,7843,Salaried,670,4621843,13,41,10.38,2.26,1,25,0
25756,2475,Salaried,649,4127716,8,40,16.51,2.87,3,26,0
88794,35196,Salaried,632,4958240,3,28,10.44,1.32,3,12,0
68363,661,Salaried,690,2601331,5,27,15.56,2.23,1,22,0
25526,3374,Salaried,708,4998600,7,23,15.01,2.65,3,18,0
175400,46479,Self-Employed,629,2318115,3,37,15.71,1.45,3,29,0
113540,7446,Student,645,4438087,12,53,13.56,2.91,2,24,0
113452,13395,Self-Employed,684,3454231,7,32,14.57,1.16,1,25,0
130700,11023,Salaried,638,2032243,1,42,17.56,1.29,3,25,0
139481,18792,Salaried,701,3374664,9,42,9.46,2.8,1,28,0
142810,38067,Self-Employed,709,4859109,11,50,11.43,2.92,2,13,0
76929,4107,Student,695,4911993,6,58,14.31,1.21,3,28,0
49594,11421,Salaried,728,3662744,5,58,17.66,0.84,3,28,0
35609,2978,Salaried,729,4348515,2,28,9.41,2.4,1,11,0
151728,59329,Self-Employed,698,4937349,14,47,8.71,2.82,3,15,0
26138,2530,Salaried,740,1300956,5,47,9.03,2.0,1,22,0
116268,39905,Salaried,620,4252271,12,54,9.0,2.09,3,24,0
179685,28179,Salaried,701,891531,6,41,17.12,2.41,2,19,1
101269,37947,Salaried,634,1665777,10,50,15.35,0.88,2,19,0
195913,46332,Self-Employed,621,2111774,9,53,14.93,2.93,1,13,0
59936,5448,Salaried,664,959711,12,48,13.46,1.41,3,23,1
61851,1638,Salaried,742,1010612,7,53,15.93,2.07,3,17,1
113723,12411,Self-Employed,723,2204174,14,25,9.98,1.67,1,15,0
111774,30874,Salaried,736,4799766,5,39,12.22,1.67,2,21,0
84252,4481,Self-Employed,688,552420,10,24,13.16,2.26,2,17,0
151614,25476,Salaried,647,1776676,10,55,9.55,2.99,2,15,0
31052,2385,Self-Employed,630,2657411,7,37,12.49,2.15,1,24,0
25749,5827,Self-Employed,661,4469323,2,48,11.51,2.49,2,28,0
160128,28380,Self-Employed,656,1478080,9,50,8.84,0.57,1,23,0
18191,392,Student,586,1294289,12,49,9.8,2.53,2,12,0
57080,20281,Self-Employed,740,4992625,8,26,15.76,1.25,2,27,0
66399,23472,Self-Employed,664,1105675,7,55,8.67,0.82,1,19,0
111722,30111,Salaried,698,3969047,9,57,17.38,0.78,3,23,0
182296,7788,Self-Employed,712,1723879,1,44,9.32,2.2,3,23,0
103340,28903,Salaried,632,3954722,7,49,16.09,2.99,3,16,0
174210,29956,Salaried,651,2009925,8,51,17.04,2.17,2,16,0
57533,13279,Self-Employed,747,4689681,2,55,17.44,1.16,2,30,0
197051,6979,Self-Employed,701,3666984,10,53,16.74,1.01,3,20,0
21910,8561,Salaried,660,2950737,6,41,11.23,1.81,2,27,0
54071,14686,Salaried,681,1031883,2,52,11.66,0.66,2,19,0
60838,23953,Salaried,670,1569603,14,43,12.55,1.5,3,24,1
91971,27935,Salaried,635,4328384,8,53,9.82,2.17,1,21,0
45841,15990,Salaried,682,4927708,14,23,8.71,2.92,3,26,0
94751,33069,Self-Employed,727,4589014,7,38,16.76,1.56,3,26,0
73005,20714,Self-Employed,714,2291281,13,45,13.76,1.0,1,10,0
70731,24858,Student,614,534814,3,51,14.28,2.54,2,15,0
175811,57804,Self-Employed,773,2680146,6,23,17.31,2.36,3,30,0
197684,29725,Self-Employed,675,845928,5,44,14.82,2.65,3,24,1
56321,3727,Self-Employed,729,2448083,8,52,15.06,1.04,2,28,0
110081,2520,Salaried,738,2839247,14,42,15.98,1.51,2,23,0
171570,31656,Salaried,734,1731641,10,43,9.61,2.95,1,19,1
181923,26832,Salaried,589,4526321,5,22,11.92,0.9,2,19,0
132322,36751,Self-Employed,677,1083316,10,47,17.7,2.18,3,16,0
24596,5251,Self-Employed,658,1820485,3,22,17.27,1.09,2,16,0
88445,13109,Self-Employed,623,1388486,7,46,16.9,1.75,2,23,0
84122,16087,Salaried,763,3612169,7,37,12.79,2.5,1,24,0
51727,11005,Self-Employed,825,3617675,3,53,16.64,1.72,1,29,0
152069,55506,Salaried,683,1140668,12,29,8.96,2.51,3,18,0
183933,13428,Salaried,704,4208179,14,59,9.91,1.57,3,24,0
91256,33937,Salaried,773,231360,11,49,12.43,3.0,2,18,0
162256,33787,Self-Employed,656,361955,11,46,13.09,1.59,3,16,0
176326,57418,Self-Employed,673,4748713,5,55,11.0,0.87,3,20,0
154401,34865,Salaried,725,2376133,13,45,11.89,1.5,2,14,1
98820,18994,Student,657,4052713,3,44,10.05,2.36,2,18,0
22999,6052,Student,564,4091059,6,33,13.15,2.62,2,15,0
175381,15078,Student,660,3984999,9,27,16.04,1.65,1,16,0
140736,13493,Salaried,676,3262883,8,56,14.78,1.99,1,23,0
169324,1431,Salaried,682,4074733,6,40,9.52,2.61,2,28,1
146234,34742,Salaried,688,4999982,10,21,13.13,2.53,1,20,0
64733,22059,Salaried,718,1812999,11,28,15.13,2.14,1,16,0
33681,874,Salaried,705,2142101,2,36,13.53,2.54,1,15,0
194402,66707,Salaried,643,3785444,10,34,12.22,1.94,3,13,0
126487,22669,Salaried,739,3817255,1,32,14.41,0.51,2,23,0
102896,29055,Student,637,3548408,1,43,17.7,0.6,2,12,0
170331,15352,Salaried,710,3687820,2,35,9.4,2.95,3,26,0
33474,6566,Self-Employed,757,2495840,2,48,12.21,0.86,1,24,1
84184,13140,Salaried,720,2879455,3,54,12.36,1.51,2,10,0
108269,8535,Self-Employed,655,2660469,12,22,13.98,2.83,1,30,0
163066,1727,Salaried,699,4525156,4,52,9.95,0.99,3,20,1
24283,5774,Salaried,772,3816484,6,43,10.18,2.61,1,22,0
15781,3048,Salaried,779,3277544,8,42,11.21,2.55,3,12,0
189023,23648,Salaried,718,71253,7,45,17.58,2.97,3,22,0
103664,13489,Salaried,693,1278807,8,42,15.47,1.2,1,27,0
167872,57828,Self-Employed,656,4513158,9,42,14.79,1.29,1,18,0
52991,13521,Self-Employed,724,1576534,3,26,16.26,2.76,2,11,0
146354,13937,Salaried,657,421616,12,35,9.71,1.09,3,17,0
104087,33380,Salaried,739,323349,14,57,16.66,1.87,1,11,0
148663,15149,Salaried,728,628688,13,53,14.15,2.27,1,10,0
67756,17053,Self-Employed,646,582726,11,28,11.69,1.18,2,12,0
70426,10592,Salaried,721,3025635,2,25,16.25,2.85,2,26,0
47994,15036,Student,637,2046170,2,59,16.12,2.16,2,16,0
172547,18888,Salaried,649,358449,6,24,16.53,0.62,3,19,1
27763,10013,Self-Employed,727,4465677,1,26,9.6,0.84,2,28,0
33099,10785,Salaried,658,4912894,2,52,17.71,0.98,3,18,0
120400,18710,Self-Employed,624,2558426,14,50,17.62,1.11,2,27,0
173588,1089,Salaried,762,173950,7,55,11.9,2.33,3,24,0
53547,3830,Self-Employed,743,4070120,6,36,9.13,0.72,2,26,0
117932,6370,Self-Employed,632,493316,14,33,10.09,1.38,3,26,0
170024,53798,Self-Employed,714,859178,7,50,17.93,2.78,2,28,0
161295,6701,Salaried,737,3282244,8,39,13.85,1.89,2,18,0
192810,71678,Salaried,690,513001,6,37,11.89,1.16,1,15,0
33351,4088,Salaried,652,2686722,3,39,11.24,2.89,3,28,0
170336,59675,Self-Employed,653,1214795,3,48,10.94,1.11,1,17,1
150565,58487,Self-Employed,754,3620599,1,46,14.81,2.76,3,15,0
74711,6816,Salaried,605,1608242,9,57,12.48,2.31,1,26,0
140149,32808,Salaried,685,2417555,12,46,17.67,2.35,2,15,1
96768,24173,Self-Employed,727,625919,14,43,15.0,2.41,1,22,0
81314,32319,Self-Employed,812,4704548,5,29,16.02,1.77,2,30,0
73643,12132,Salaried,653,1054001,8,32,11.28,2.54,3,11,0
47174,1447,Salaried,711,4354459,14,21,9.25,2.59,2,21,0
41649,14567,Self-Employed,696,4060162,4,21,13.13,1.4,1,16,0
189427,31259,Salaried,731,320914,6,54,11.49,1.5,3,15,1
115311,17569,Salaried,717,3150581,6,52,10.42,2.72,1,26,0
172584,6716,Salaried,699,3171881,11,45,17.55,1.81,2,17,0
100371,29033,Self-Employed,629,4446720,13,21,12.72,2.67,2,15,0
58056,17709,Salaried,695,799971,12,36,10.16,2.07,1,28,0
111038,16724,Salaried,627,535757,9,59,10.39,1.98,3,30,0
85448,4648,Self-Employed,684,1550948,3,25,11.17,0.58,1,18,0
64334,3112,Student,696,4952444,1,42,17.99,1.19,2,29,0
23210,6132,Salaried,670,3398924,1,49,11.05,1.76,3,25,0
149393,15812,Self-Employed,707,4458285,1,23,11.62,1.97,1,27,0
163049,63972,Salaried,669,4254955,8,32,14.76,2.08,2,28,0
117112,16715,Student,688,2643726,13,46,11.29,2.29,3,16,0
197721,34610,Salaried,667,1620057,14,36,10.55,2.14,1,17,1
91917,17154,Student,669,211445,3,57,10.01,2.62,3,30,0
37785,13392,Self-Employed,718,560370,11,42,11.47,1.24,2,28,0
82534,31705,Self-Employed,691,4251765,12,49,9.51,2.1,1,10,0
163586,63121,Salaried,625,1829685,10,34,8.68,0.63,1,22,0
108547,42849,Salaried,653,2229431,11,48,16.14,1.7,2,10,0
90769,1141,Self-Employed,592,3937008,8,25,9.81,1.17,2,20,1
186675,68803,Salaried,692,67297,12,50,15.87,1.45,2,11,0
59014,13790,Self-Employed,721,1277146,1,25,16.08,1.39,1,30,0
154839,22852,Salaried,761,4751669,1,32,13.61,0.65,2,12,0
